TIME: 0.000, TIME STEP: 0.001, STEADY TIME: 0.000, FINAL TIME: 0.010, NUMBER OF PARTICLES : 2021, LINEAR SIZE (L) = 126.00, SELF-VELOCITY (V0): 1.00
SET PARAMETERS: PHI = 0.10, Pe = 1.00, TAU = 1.0, SAMPLE = 0
X           Y        X_VIRTUAL     Y_VIRTUAL       VX         VY         THETA
94.745518  53.607071   94.745518   53.607071    -35.423530    1.036715    1.020155 
106.774373  99.903944   106.774373   99.903944    -4.246288    -3.823180    3.550698 
116.790325  72.896498   116.790325   72.896498    -7.045328    -13.752117    0.858762 
83.182183  28.215793   83.182183   28.215793    -0.967378    0.253338    2.885463 
41.653681  11.936482   41.653681   11.936482    0.967110    0.254360    0.257186 
85.169138  66.991495   85.169138   66.991495    -0.878339    0.478038    2.643173 
102.977995  13.372241   102.977995   13.372241    0.863904    0.503657    0.527826 
112.887907  18.588637   112.887907   18.588637    -0.409319    0.912391    1.992504 
106.139882  2.944356   106.139882   2.944356    0.522998    0.852334    1.020432 
70.706035  73.833949   70.706035   73.833949    6.197849    -9.623466    6.291760 
16.489488  120.080180   16.489488   120.080180    -0.287795    0.957692    1.862720 
15.787878  67.582276   15.787878   67.582276    0.822726    0.568438    0.604606 
27.453127  49.540274   27.453127   49.540274    -0.778442    0.627717    2.462976 
121.034055  68.342449   121.034055   68.342449    0.285867    0.958269    1.280885 
42.183339  103.874063   42.183339   103.874063    -0.268483    -0.963284    4.440571 
97.688673  4.586118   97.688673   4.586118    -0.944145    -0.329530    3.477398 
98.267053  57.351448   98.267053   57.351448    0.933569    -0.358397    5.916635 
15.919048  7.589211   15.919048   7.589211    0.867198    -0.497964    5.761936 
32.537580  113.087719   32.537580   113.087719    0.768943    -0.639317    5.589576 
2.045805  73.047398   2.045805   73.047398    -0.743200    0.669070    2.408636 
7.922925  57.921789   7.922925   57.921789    -0.772403    -0.635133    3.829773 
54.322430  18.220289   54.322430   18.220289    0.277150    -0.960827    4.993216 
115.537065  92.884993   115.537065   92.884993    0.200531    0.979687    1.368896 
36.834915  19.605437   36.834915   19.605437    0.045153    0.998980    1.525628 
106.373479  22.695071   106.373479   22.695071    0.985813    -0.167849    6.114538 
40.797559  20.952962   40.797559   20.952962    -0.437602    -0.899169    4.259459 
85.214754  85.722948   85.214754   85.722948    0.266192    -0.963920    4.981829 
29.002442  86.016784   29.002442   86.016784    0.027356    0.999626    1.543437 
46.049778  106.775268   46.049778   106.775268    14.467409    -3.152651    2.005467 
95.205733  15.063010   95.205733   15.063010    9.277170    19.412363    5.458812 
123.059562  5.295196   123.059562   5.295196    0.183788    0.982966    1.385957 
65.470278  50.864611   65.470278   50.864611    -0.844607    -0.535386    3.706557 
84.751488  64.986461   84.751488   64.986461    0.321928    0.946764    1.243031 
59.052743  32.010124   59.052743   32.010124    0.227441    -0.973792    4.941838 
79.757257  77.618375   79.757257   77.618375    -0.449802    13.232041    0.834094 
15.237741  31.801351   15.237741   31.801351    -0.977569    -0.210615    3.353797 
47.622744  31.720921   47.622744   31.720921    0.989122    0.147101    0.147636 
2.606551  3.037307   2.606551   3.037307    -2.250838    -25.995957    3.821952 
118.830535  93.681315   118.830535   93.681315    -6.382884    0.126385    1.751522 
32.606738  122.804439   32.606738   122.804439    -0.995138    -0.098490    3.240242 
105.077087  6.097964   105.077087   6.097964    -0.444946    -0.895557    4.251275 
41.688021  44.402848   41.688021   44.402848    -0.969929    -0.243388    3.387450 
22.149695  121.922921   22.149695   121.922921    -3.436652    5.249998    0.767048 
77.150261  84.956213   77.150261   84.956213    0.466700    -0.884416    5.197944 
125.762859  17.127205   125.762859   17.127205    0.986475    0.163913    0.164656 
54.510095  94.315597   54.510095   94.315597    7.420497    10.439980    0.207594 
78.013253  4.783051   78.013253   4.783051    0.118728    -0.992927    4.831398 
8.476890  49.013095   8.476890   49.013095    0.425803    0.904816    1.130947 
125.824042  120.839829   125.824042   120.839829    4.818431    -5.045479    3.670283 
105.397568  51.927497   105.397568   51.927497    6.115197    14.368668    1.000416 
18.921533  114.009129   18.921533   114.009129    0.921900    0.387427    0.397839 
56.186526  32.360711   56.186526   32.360711    -0.340183    -0.940359    4.365277 
43.024243  92.682424   43.024243   92.682424    0.343516    0.939147    1.220138 
106.854783  33.436961   106.854783   33.436961    -0.488448    0.872593    2.081107 
14.339385  91.995068   14.339385   91.995068    -0.741730    -0.670699    3.876743 
4.104703  65.064555   4.104703   65.064555    0.429427    0.903101    1.126938 
82.844304  44.781355   82.844304   44.781355    0.550151    0.835065    0.988251 
66.654463  122.304348   66.654463   122.304348    -21.885563    -25.325446    2.989793 
36.900251  103.211347   36.900251   103.211347    21.443366    -4.439597    5.570819 
18.862107  86.596288   18.862107   86.596288    -0.316468    0.948603    1.892800 
9.221709  94.138692   9.221709   94.138692    -0.173970    -0.984751    4.537529 
123.252993  65.443289   123.252993   65.443289    13.266562    -12.591835    2.431882 
63.321822  60.309398   63.321822   60.309398    -0.791764    0.610827    2.484487 
108.477772  91.742667   108.477772   91.742667    0.254481    -0.967078    4.969700 
65.581413  58.774131   65.581413   58.774131    -4.264836    19.721749    5.089167 
96.294214  57.727074   96.294214   57.727074    -0.795806    0.605551    2.491134 
24.997888  118.143595   24.997888   118.143595    7.565826    -13.525473    5.434116 
45.309100  22.333472   45.309100   22.333472    -10.711519    1.905364    2.802952 
29.648538  71.839091   29.648538   71.839091    5.519047    0.393052    0.870846 
96.403087  46.734498   96.403087   46.734498    22.937626    6.448871    3.177180 
92.874584  91.177619   92.874584   91.177619    0.338048    -0.941129    5.057231 
24.112712  49.633719   24.112712   49.633719    0.877688    -0.479233    5.783405 
14.961889  21.074239   14.961889   21.074239    -6.759412    3.383870    0.607935 
24.316173  103.961265   24.316173   103.961265    8.121321    -3.632468    5.904177 
21.544592  113.383075   21.544592   113.383075    0.905540    -0.424261    5.845039 
2.626862  20.720303   2.626862   20.720303    9.627844    -11.908424    1.261412 
86.569463  110.787701   86.569463   110.787701    0.246804    0.969065    1.321416 
24.773617  92.055002   24.773617   92.055002    -6.268065    -26.395199    0.589070 
84.348461  100.591647   84.348461   100.591647    0.531583    -0.925057    5.229593 
92.590988  60.579557   92.590988   60.579557    0.957160    0.289560    0.293767 
94.683625  95.381551   94.683625   95.381551    9.413962    1.600622    5.241550 
35.020563  48.465581   35.020563   48.465581    0.077433    0.996998    1.493285 
84.153750  98.770838   84.153750   98.770838    -0.480396    -0.877052    4.211283 
91.529271  11.149707   91.529271   11.149707    -0.457828    0.889041    2.046347 
47.344346  69.789790   47.344346   69.789790    0.421515    0.906821    1.135681 
84.922314  56.484019   84.922314   56.484019    -0.965668    -0.259781    3.404388 
45.809120  122.272076   45.809120   122.272076    1.209646    -0.760833    3.675601 
109.690030  3.135729   109.690030   3.135729    -0.804755    -0.593608    3.777127 
94.309167  25.929446   94.309167   25.929446    0.977755    0.209750    0.211319 
44.549024  82.091628   44.549024   82.091628    6.513459    0.735358    2.216229 
27.353587  124.335564   27.353587   124.335564    0.668648    -0.743579    5.444778 
4.639795  47.813033   4.639795   47.813033    0.379708    -0.925106    5.101870 
59.226493  74.001607   59.226493   74.001607    0.999350    -0.036037    6.247141 
124.784689  19.127654   124.784689   19.127654    0.994434    0.105365    0.105561 
18.480640  125.389800   18.480640   125.389800    0.952364    0.304962    0.309899 
89.104662  91.789293   89.104662   91.789293    0.246874    0.969048    1.321344 
9.536400  29.655113   9.536400   29.655113    -0.586904    0.809657    2.198026 
14.131323  76.402174   14.131323   76.402174    1.735484    28.879970    5.566267 
